,Year,value,flood
612,2016-01-01,0.3,0
613,2016-02-01,0.0,0
614,2016-03-01,0.0,0
615,2016-04-01,0.0,0
616,2016-05-01,186.8,0
617,2016-06-01,133.9,0
618,2016-07-01,36.0,0
619,2016-08-01,14.4,0
620,2016-09-01,249.2,0
621,2016-10-01,7.0,0
622,2016-11-01,34.9,0
623,2016-12-01,210.9,1
624,2017-01-01,3.9,0
625,2017-02-01,0.0,0
626,2017-03-01,0.0,0
627,2017-04-01,0.0,0
628,2017-05-01,32.0,0
629,2017-06-01,81.3,0
630,2017-07-01,84.8,0
631,2017-08-01,266.7,0
632,2017-09-01,109.3,0
633,2017-10-01,330.3,0
634,2017-11-01,417.7,0
635,2017-12-01,62.0,0
636,2018-01-01,0.0,0
637,2018-02-01,0.8,0
638,2018-03-01,5.3,0
639,2018-04-01,0.0,0
640,2018-05-01,1.3,0
641,2018-06-01,35.0,0
642,2018-07-01,63.3,0
643,2018-08-01,165.7,0
644,2018-09-01,134.0,0
645,2018-10-01,134.7,0
646,2018-11-01,248.7,0
647,2018-12-01,91.3,1
648,2019-01-01,0.0,0
649,2019-02-01,1.3,0
650,2019-03-01,0.0,0
651,2019-04-01,3.3,0
652,2019-05-01,9.0,0
653,2019-06-01,16.7,0
654,2019-07-01,107.0,0
655,2019-08-01,177.7,0
656,2019-09-01,327.0,0
657,2019-10-01,367.7,0
658,2019-11-01,84.7,0
659,2019-12-01,191.0,0
